ci_idx,ai_idx,distance,ci_dist,di_cost
3678,43707,0.02885634731501341,0.02092515118420124,0.007931196130812168
3898,66582,0.0358183141797781,0.019183456897735596,0.016634857282042503
1724,45548,0.03664974868297577,0.008408909663558006,0.028240839019417763
4500,43087,0.03831969667226076,0.02680845558643341,0.01151124108582735
5304,55044,0.03877948084846139,0.033236607909202576,0.005542876664549112
7648,21838,0.03906707651913166,0.009735098108649254,0.029331978410482407
4631,10738,0.04080476239323616,0.028060197830200195,0.012744564563035965
1922,30295,0.040849847719073296,0.03291303291916847,0.007936814799904823
6814,21089,0.04304045019671321,0.03651772812008858,0.006522722076624632
3498,73313,0.04339267499744892,0.03128308057785034,0.01210959441959858
9367,66912,0.04357428103685379,0.029706323519349098,0.013867957517504692
9167,35645,0.044215256348252296,0.030761709436774254,0.013453546911478043
9959,82435,0.044376068748533726,0.037114765495061874,0.007261303253471851
8734,27604,0.044532546773552895,0.03316694498062134,0.011365598067641258
1522,87416,0.04539266135543585,0.03688517212867737,0.008507485501468182
7381,97985,0.04648995120078325,0.038826510310173035,0.00766343716531992
6850,65968,0.04650009609758854,0.02957233227789402,0.01692776381969452
357,94156,0.04727689363062382,0.03299397975206375,0.014282913878560066
4395,16449,0.04759273864328861,0.037577852606773376,0.010014889761805534
751,64582,0.048056747764348984,0.023079052567481995,0.02497769519686699
4047,70683,0.04839467257261276,0.026350490748882294,0.02204418182373047
9242,97051,0.04878039099276066,0.04259779304265976,0.006182597950100899
5818,89925,0.048878964968025684,0.0362815298140049,0.012597435154020786
7999,85949,0.04925481975078583,0.032610319554805756,0.016644500195980072
6292,74791,0.04929566662758589,0.035309601575136185,0.013986065052449703
8233,39202,0.049813454039394855,0.03686852380633354,0.012944930233061314
2032,30275,0.049991341307759285,0.033366456627845764,0.01662488467991352
5798,8723,0.050246529281139374,0.043221913278102875,0.007024616003036499
6739,3447,0.05031557101756334,0.03662155941128731,0.013694011606276035
5298,95689,0.05036347918212414,0.03403380885720253,0.016329670324921608
9513,17842,0.05122010037302971,0.034292273223400116,0.016927827149629593
1026,93097,0.051358917728066444,0.03759985417127609,0.013759063556790352
8852,34701,0.05136957671493292,0.0366571806371212,0.014712396077811718
4740,82217,0.051373749040067196,0.036496520042419434,0.014877228997647762
156,88403,0.05142278037965298,0.03419259563088417,0.017230184748768806
5061,54895,0.051423197612166405,0.042375918477773666,0.009047279134392738
8735,58666,0.05159092228859663,0.044483304023742676,0.007107618264853954
8593,75960,0.05163930356502533,0.02724716067314148,0.02439214289188385
8078,45657,0.05164707638323307,0.03563888370990753,0.01600819267332554
8992,41381,0.05177276488393545,0.04357239603996277,0.008200368843972683
881,2296,0.05217709578573704,0.03760001063346863,0.01457708515226841
304,44268,0.05230226367712021,0.028462961316108704,0.023839300498366356
8108,16517,0.05230599734932184,0.04689675569534302,0.005409241653978825
3173,42640,0.05254442244768143,0.04063698276877403,0.011907439678907394
3567,60984,0.05268959328532219,0.03469464182853699,0.017994951456785202
8405,91672,0.05286668241024017,0.04050539433956146,0.012361288070678711
9140,612,0.052949003875255585,0.041085854172706604,0.01186314970254898
6878,65922,0.053220679983496666,0.02640577405691147,0.026814905926585197
2199,38961,0.05322109954431653,0.04644404724240303,0.0067770523019135
2476,7976,0.053273776080459356,0.047225844115018845,0.006047931965440512
3055,85466,0.053415486589074135,0.03650175407528877,0.016913732513785362
7518,59157,0.0537645211443305,0.0422929972410202,0.011471527628600597
2823,6408,0.05391428805887699,0.04315978288650513,0.010754508897662163
2588,14502,0.054084048606455326,0.03951411694288254,0.014569935388863087
7791,73315,0.05411633104085922,0.031882017850875854,0.02223430946469307
4840,75833,0.054341139271855354,0.02706233412027359,0.027278805151581764
8187,38790,0.05445045605301857,0.03836742788553238,0.016083024442195892
7641,2915,0.0546789881773293,0.04761401563882828,0.007064972538501024
9171,21947,0.054958817549049854,0.04774803668260574,0.007210784591734409
935,37755,0.05529784318059683,0.042590219527482986,0.012707623653113842
3086,5358,0.05559738725423813,0.049739770591259,0.005857616662979126
9510,7602,0.05561261996626854,0.04437164217233658,0.011240977793931961
9998,49286,0.055699801072478294,0.03420485183596611,0.021494949236512184
3352,19385,0.05570508912205696,0.03967941552400589,0.01602567359805107
6277,3790,0.05577500816434622,0.04779530316591263,0.00797970499843359
9804,35056,0.05607545003294945,0.04241028055548668,0.013665169477462769
4077,68402,0.05617656372487545,0.04216615483164787,0.014010408893227577
732,45031,0.05621319264173508,0.04663333296775818,0.009579859673976898
7352,80229,0.056354309897869825,0.049923136830329895,0.00643117306753993
7004,34699,0.05643947375938296,0.04919225350022316,0.007247223984450102
8926,7794,0.05651290714740753,0.03290851414203644,0.023604393005371094
2571,50639,0.057045106776058674,0.041662029922008514,0.01538307685405016
4482,97688,0.057124147191643715,0.037013206630945206,0.02011094056069851
8396,72575,0.05720354616641998,0.03847111761569977,0.018732428550720215
8247,69733,0.05730219557881355,0.034041449427604675,0.023260746151208878
93,62109,0.05731623154133558,0.04939774051308632,0.007918494753539562
8778,85419,0.057359606958925724,0.04314788803458214,0.014211718924343586
3804,13798,0.05736716836690903,0.0474194660782814,0.009947702288627625
5481,45948,0.057603031396865845,0.040876563638448715,0.01672646775841713
2371,1624,0.057809170335531235,0.025403771549463272,0.03240539878606796
3281,85094,0.057906199246644974,0.03905053064227104,0.018855668604373932
8536,87723,0.05832131206989288,0.039406176656484604,0.01891513541340828
9636,8146,0.05833057314157486,0.0414564311504364,0.016874141991138458
830,90401,0.058536404743790627,0.04062221571803093,0.017914189025759697
875,31426,0.05860174261033535,0.04147621989250183,0.01712552271783352
1144,60674,0.058607586193829775,0.05136280506849289,0.0072447811253368855
2041,47043,0.05872588977217674,0.032023925334215164,0.02670196443796158
1260,93902,0.0587850222364068,0.049784839153289795,0.009000183083117008
3180,32508,0.05887285387143493,0.052121251821517944,0.006751605775207281
3753,54887,0.058905377984046936,0.033086780458688736,0.0258185975253582
1351,83063,0.058979579247534275,0.04949631169438362,0.009483267553150654
2923,86614,0.05897968076169491,0.04104778170585632,0.017931899055838585
9624,33373,0.05910232663154602,0.042586345225572586,0.016515981405973434
5372,8841,0.05918562784790993,0.03734152019023895,0.021844103932380676
3691,33058,0.05926237441599369,0.04299008101224899,0.016272293403744698
6509,90319,0.05929313041269779,0.037417203187942505,0.021875930950045586
7236,53673,0.05960576143115759,0.04809143766760826,0.011514323763549328
5924,3530,0.0596226304769516,0.03875080496072769,0.020871825516223907
5792,73875,0.05972391553223133,0.045275092124938965,0.014448823407292366
7014,61106,0.05978706665337086,0.03946588933467865,0.020321177318692207
7327,84184,0.05978964827954769,0.03734636306762695,0.02244328148663044
995,18353,0.05982866697013378,0.04422152787446976,0.015607139095664024
9904,17431,0.05983730033040047,0.047048419713974,0.012788880616426468
4104,79300,0.05984230153262615,0.04049093648791313,0.01935136504471302
1382,97974,0.05993136018514633,0.054105244576931,0.005826115608215332
1094,95991,0.06010713614523411,0.042026087641716,0.018081048503518105
5092,8615,0.06021836865693331,0.04587399214506149,0.014344376511871815
8728,29089,0.060280014760792255,0.053429123014211655,0.006850895471870899
8504,92352,0.06043153814971447,0.04334867000579834,0.01708286814391613
9343,96162,0.06051839329302311,0.04312599450349808,0.017392395064234734
5927,51336,0.06055206619203091,0.044021982699632645,0.016530083492398262
1472,58836,0.061013463884592056,0.03874194994568825,0.02227151393890381
7395,15182,0.061104822903871536,0.04346564784646034,0.017639175057411194
2970,40233,0.06123262830078602,0.0489223375916481,0.012310290709137917
6787,20266,0.06143497861921787,0.04836405813694,0.01307092048227787
8863,80370,0.06165872886776924,0.04275763779878616,0.018901091068983078
983,15229,0.061672380194067955,0.04018329828977585,0.021489081904292107
5744,53925,0.061783487908542156,0.04747781157493591,0.014305676333606243
2764,72729,0.061824407428503036,0.04086635634303093,0.020958051085472107
8031,48011,0.06196095608174801,0.05234429985284805,0.009616656228899956
5428,50980,0.06210051430389285,0.05557329207658768,0.006527222227305174
7182,44981,0.06213064678013325,0.05387594550848007,0.008254701271653175
4575,54104,0.06214082054793835,0.04490336775779724,0.017237452790141106
688,21691,0.06234242580831051,0.05414189025759697,0.008200535550713539
2590,25530,0.06234424188733101,0.05247668921947479,0.009867552667856216
6064,64802,0.062432730570435524,0.05308878794312477,0.009343942627310753
9866,27506,0.062498923391103745,0.045374613255262375,0.01712431013584137
5453,39806,0.06260477192699909,0.04845481365919113,0.01414995826780796
3391,65207,0.0626078536733985,0.05615422874689102,0.006453624926507473
7704,10469,0.06275591347366571,0.049270082265138626,0.013485831208527088
6105,90944,0.06296582520008087,0.019170574843883514,0.04379525035619736
2509,20361,0.06300045549869537,0.05155450850725174,0.011445946991443634
6731,85946,0.06300878338515759,0.04463387280702591,0.018374910578131676
7141,62259,0.06315980292856693,0.03279464691877365,0.03036515600979328
17,23942,0.06322167254984379,0.039575256407260895,0.023646416142582893
2136,80944,0.06336433440446854,0.0365581251680851,0.026806209236383438
5414,85249,0.06343013560399413,0.058268338441848755,0.005161797162145376
8654,37673,0.06348241865634918,0.04359900578856468,0.0198834128677845
653,35484,0.06349339429289103,0.053344011306762695,0.01014938298612833
2149,20123,0.06351033318787813,0.04894023388624191,0.014570099301636219
1648,39720,0.06353791803121567,0.04335593804717064,0.02018197998404503
521,55142,0.06357849016785622,0.04586125910282135,0.017717234790325165
6328,63593,0.06366444937884808,0.033985961228609085,0.02967848815023899
