ai_idx,score,greedy_match,greedy_dist,conf_abs_err
86277,-0.12460647150874138,1,0.08971813321113586,0.034888338297605515
97509,-0.1257018707692623,1,0.10390198230743408,0.021799888461828232
4916,-0.12784776836633682,1,0.08925430476665497,0.038593463599681854
69716,-0.1448296196758747,1,0.12413051724433899,0.02069910243153572
83596,-0.1451759822666645,1,0.09629982709884644,0.04887615516781807
92554,-0.1485477276146412,1,0.10856794565916061,0.039979781955480576
86920,-0.15914222411811352,1,0.1318216472864151,0.027320576831698418
17234,-0.15932876709848642,1,0.1471002846956253,0.012228482402861118
33627,-0.15962669253349304,1,0.10937334597110748,0.05025334656238556
78326,-0.16449304297566414,1,0.12954522669315338,0.03494781628251076
44414,-0.16556204110383987,1,0.12029862403869629,0.045263417065143585
37401,-0.1679680347442627,1,0.11153796315193176,0.05643007159233093
83579,-0.16810714453458786,1,0.13959096372127533,0.02851618081331253
41110,-0.17068523168563843,1,0.14155445992946625,0.02913077175617218
85379,-0.17115182429552078,1,0.12057294696569443,0.050578877329826355
95310,-0.1715706828981638,1,0.14137937128543854,0.030191311612725258
28633,-0.17226775363087654,1,0.1277729719877243,0.04449478164315224
24126,-0.17272675037384033,1,0.131033793091774,0.041692957282066345
76239,-0.17531276121735573,1,0.11837513744831085,0.056937623769044876
73857,-0.1779162436723709,1,0.14074668288230896,0.03716956079006195
37186,-0.17914284765720367,1,0.12908266484737396,0.05006018280982971
33566,-0.18038459680974483,1,0.16397175192832947,0.016412844881415367
84464,-0.18053454533219337,1,0.12508100271224976,0.05545354261994362
6890,-0.18061888590455055,1,0.1492144763469696,0.03140440955758095
22764,-0.18243006244301796,1,0.16204746067523956,0.020382601767778397
3086,-0.18628779985010624,1,0.16750776767730713,0.01878003217279911
63880,-0.18831360712647438,1,0.15617510676383972,0.03213850036263466
85943,-0.18919566832482815,1,0.16297359764575958,0.026222070679068565
68410,-0.19159094616770744,1,0.13253670930862427,0.059054236859083176
63758,-0.19198394566774368,1,0.17258132994174957,0.01940261572599411
30706,-0.19320080056786537,1,0.14689847826957703,0.046302322298288345
57131,-0.1936083808541298,1,0.173176109790802,0.02043227106332779
