ci_idx,ai_idx,distance
0,30606,0.3886503383251471
1,5029,0.33889659236337544
2,66264,0.29579264145680695
3,30509,0.2511456995533475
4,45484,0.23210735013867567
5,50544,0.48530802138549034
6,89113,0.29964842884089227
7,42595,0.5821339455576016
8,81902,0.20606383605141995
9,8588,0.17500784162047012
10,36846,0.24955271939959267
11,29274,0.46524992231238294
12,91742,0.30213872766594524
13,86874,0.2663982022256747
14,89307,0.15423056049877315
15,84786,0.3234013848822054
16,97612,0.25910801344079615
17,88319,0.13761198654926318
18,29871,0.41769051990611983
19,59966,0.35848832372383466
20,90957,0.2465891190293458
21,69415,0.2207250446939685
22,74853,0.21151146742368684
23,55020,0.20931142629710534
24,52632,0.27943123557736615
25,55813,0.22254430463769717
26,41629,0.5223121131484137
27,46017,0.5229835745217553
28,64387,0.29134022401457815
29,10190,0.21628580854008217
30,19761,0.5032662164240058
31,49997,0.7459707264038559
32,65508,0.266812307289427
33,73924,0.30273837580275065
34,12951,0.3264313401554104
35,69235,0.14737103784276503
36,81524,0.3384613841461994
37,57220,0.2067228033164859
38,26775,0.40732768283208143
39,65382,0.3276079591210392
40,46316,0.2518650460704741
41,63855,0.22876228550322728
42,36468,0.36662034452639947
43,26488,0.2993906466198034
44,5631,0.3017418240184925
45,90740,0.2902160048434863
46,77140,0.23852946221906718
47,69445,0.3212833932902205
48,25197,0.3770986314421783
49,42148,0.3087440217252031
50,49593,0.19359052816114028
51,72996,0.27005874493622795
52,26438,0.2032258388256471
53,1688,0.5230352334939657
54,14048,0.19476500843920752
55,38318,0.42060692025850066
56,45780,0.2176971495939184
57,31530,0.5005259549035058
58,39684,0.49952821821115434
59,17073,0.32338950768322167
60,68518,0.3840749694721354
61,42805,0.2400267659333495
62,94075,0.2821571224598752
63,65569,0.7460559445175103
64,64679,0.3359094689595926
65,958,0.195412705128544
66,38256,0.41795389205180405
67,77623,0.23567302544704544
68,76745,0.273837963285784
69,52385,0.2606524661753007
70,74343,0.3180613190462515
71,89738,0.2230435642964094
72,25782,0.3723889411699056
