ai_idx,score,hung_match,hung_dist,pred_sel,conf_sel,conf_abs_err
14308,-0.05066317375167273,1,0.05020156130194664,1,1,0.00046161244972608984
75165,-0.0548056369589176,1,0.05434402450919151,1,1,0.00046161244972608984
36424,-0.05708666946156882,1,0.05662505701184273,1,1,0.00046161244972608984
22940,-0.05905473287566565,1,0.05859312042593956,1,1,0.00046161244972608984
35065,-0.07170156817301176,1,0.07123995572328568,1,1,0.00046161244972608984
59312,-0.07301486711367033,1,0.07255325466394424,1,1,0.00046161244972608984
80705,-0.0738486243353691,1,0.073387011885643,1,1,0.00046161244972608984
33311,-0.075037573085865,1,0.07457596063613892,1,1,0.00046161244972608984
34517,-0.07553799878223799,1,0.0750763863325119,1,1,0.00046161244972608984
32728,-0.07650641034706496,1,0.07604479789733887,1,1,0.00046161244972608984
88648,-0.0800519181357231,1,0.07959030568599701,1,1,0.00046161244972608984
48274,-0.08182564060552977,1,0.08136402815580368,1,1,0.00046161244972608984
19644,-0.08223091493709944,1,0.08176930248737335,1,1,0.00046161244972608984
36409,-0.08269259761436842,1,0.08223098516464233,1,1,0.00046161244972608984
5833,-0.08350578378303908,1,0.08304417133331299,1,1,0.00046161244972608984
85825,-0.08394068162306212,1,0.08347906917333603,1,1,0.00046161244972608984
18452,-0.08447954486473463,1,0.08401793241500854,1,1,0.00046161244972608984
53043,-0.08461156915291212,1,0.08414995670318604,1,1,0.00046161244972608984
98118,-0.0851873351202812,1,0.08472572267055511,1,1,0.00046161244972608984
79171,-0.08589060287340544,1,0.08542899042367935,1,1,0.00046161244972608984
43395,-0.0864969236718025,1,0.08603531122207642,1,1,0.00046161244972608984
94857,-0.0871101958618965,1,0.08664858341217041,1,1,0.00046161244972608984
86387,-0.08768911342485808,1,0.08722750097513199,1,1,0.00046161244972608984
32374,-0.08892108927830122,1,0.08845947682857513,1,1,0.00046161244972608984
98561,-0.08897889833315276,1,0.08851728588342667,1,1,0.00046161244972608984
82618,-0.08953570257290266,1,0.08907409012317657,1,1,0.00046161244972608984
83312,-0.0900428039894905,1,0.0895811915397644,1,1,0.00046161244972608984
81233,-0.09007724802359007,1,0.08961563557386398,1,1,0.00046161244972608984
95287,-0.09047227035625838,1,0.09001065790653229,1,1,0.00046161244972608984
39357,-0.09064107071026228,1,0.0901794582605362,1,1,0.00046161244972608984
30045,-0.09082714151008986,1,0.09036552906036377,1,1,0.00046161244972608984
90933,-0.09098815600736998,1,0.09052654355764389,1,1,0.00046161244972608984
1582,-0.09132896046503447,1,0.09086734801530838,1,1,0.00046161244972608984
41425,-0.09173702876432799,1,0.0912754163146019,1,1,0.00046161244972608984
